A|неопределенный артикль
BUSILY|Деловито
BUSINESS|дело, бизнес, деловой
BUSINESSMEN|бизнесмены (от businessman)
BUST|бюст
BUSTLE|суетиться, суматоха, суета
BUSTS|Бюсты
BUSY|занятый
BUT|но
BUTCHER|мясник
BUTLER|Дворецкий
BUTTER|масло
BUTTON|кнопка, пуговица
BUTTONS|Кнопки
BUY|покупать, купить
BUYER|покупатель
BUZZ|жужжать, гудеть, жужжание, гул
BUZZER|(фабричный) гудок
BY|по, при, путем
BYE|пока (при прощании)
BYTE|Байт
BYTES|Байты
BYWORD|поговорка, олицетворение (не dictum)
CAB|наемный экипаж, извозчик, такси
CABBAGE|капуста
CABIN|каюта
CABINET|кабинет (не parlour)
CABLE|кабельный
CACHE|Тайник
CADENCE|ритм, интонация
CAESAR|Каесар
CAFE|кафе
CAGE|клетка, кабина
CAGES|Клетки
CAKE|торт
CAKES|пироги 
CALAMITY|стихийное бедствие, большое несчастье
CALCULATE|рассчитывать, вычислять
CALCULATED|Расчетный
CALEB|Калеб
CALENDAR|календарь
CALF|слоненок, теленок, молодой кит
CALL|звонить, называть (call)
CALLED|звонил, названный (от call)
CALLING|звонящий (от call)
CALM|успокаивать
CALMLY|тихо, спокойно 
CAMBRIDGE|Кембридж
CAME|пришел (от come)
CAMERA|фотоаппарат
CAMP|лагерь
CAMPAIGN|компания, проводить кампанию
CAN|уметь, мочь
CANCEL|отменить, сократить
CANDIDATE|кандидат
CANDLE|свеча
CANDLING|Миражирование -ing
CANE|трость, палка
CANES|Тростники(трости)
CANNED|консервированный
CANNON|пушка, орудие c-
CANNOT|не уметь (отрицательная форма глагола can)
CANOE|челн, байдарка
CANTEEN|столовая
CANVAS|холст, парус
CANYON|Каньон
CAP|шапка
CAPABLE|способный
CAPACIOUS|просторный, вместительный, объемистый
CAPACITY|емкость, способность
CAPE|мыс
CAPITAL|столица
CAPITALIST|капиталист, капиталистический
CAPTAIN|капитан
CAPTIVE|пленный
CAPTIVITY|Захват
CAPTURE|захват, поймать
CAPTURED|Захваченный
CAR|машина
CARAVAN|фургон
CARBON|углерод
CARBONATE|Карбонат
CARD|карточка
CARDBOARD|картон
CARDS|карточки (от card)
CARE|заботиться, переживать
CAREER|профессия, карьера
CAREERS|профессии (от career)
CAREFUL|осторожный
CAREFULLY|осторожно, внимательно
CARELESS|беззаботный
CARES|заботится, переживает (от care)
CARGO|груз
CARICATURE|карикатура
CARLA|Карла
CARLOS|Карлос
CARPENTER|плотник
CARPET|ковер, устилать
CARRIAGE|вагон
CARRIER|носильщик, транспортное средство
CARROT|морковь
CARRY|нести, носить, возить
CARRYING|перевозка
CART|телега, повозка
CARTER|возчик; ломовой извозчик 
CARTON|коробка
CARTOON|мультфильм
CARVE|вырезать, отрезать
CARVED|вырезанный (из дерева, из камня) 
CASE|случай, состояние
CASH|деньги
CASKS|Бочки
CAST|бросать, ронять, менять
CASTLE|замок (не железный, а каменный)
CASUAL|случайный (не random)
CAT|кошка
CATCH|уловить, понять, получить нагоняй
CATCHING|Ловля
CATHEDRAL|собор
CATHERINE|Кэтрин
CATS|Коты
CATTLE|(рогатый) скот
CAUGHT|ловил 
CAULDRON|Котел
CAUSE|дело, причина
CAUSING|Порождение -ing
CAUTION|осторожность
CAUTIOUS|осторожный
CAUTIOUSLY|осторожно 
CAVE|пещера
CAVERN|Пещера
CAVITY|впадина, полость
CEASE|прекращать, останавливать
CEASED|Прекратил
CEILING|потолок
CELEBRATE|праздновать
CELEBRATED|праздновал (от celebrate)
CELEBRATION|празднование
CELEBRITY|известность, знаменитость
CELL|камера, ячейка
CELLAR|подвал, винный погреб
CELLS|Ячейки
CEMENT|цемент, основа
CEMETERY|кладбище
CENT|цент
CENTER|центр
CENTRAL|центральный
CENTRE|центр -re
CENTURIES|Столетия
CENTURY|столетие, век
CEREALS|хлебные злаки, зерновые
CEREMONY|церемония
CERTAIN|определенный, некоторый, некий c-
CERTAINLY|конечно
CERTAINTY|уверенность
CERTIFICATE|справка, аттестат
CESSATION|прекращение (не interrupt)
CHAIN|цепь
CHAIR|стул
CHAIRMAN|председатель
CHAISE|Фаэтон
CHALK|мел
CHALKED|Рисовавший мелом
CHALLENGE|вызывать, вызов
CHAMBER|палата
CHAMBERS|Палаты *h-
CHAMPAGNE|шампанское
CHAMPION|чемпион
CHAMPIONSHIP|чемпионат, звание чемпиона
CHANCE|случай, шанс
CHANCES|Возможности
CHANGE|мелкие деньги, сдача, менять, пересаживаться
CHANGED|поменял, изменил (от change)
CHANGES|меняется (от change)
CHANGING|Изменение(замена)
CHANNEL|канал
CHAP|парень (разг.), малый c-
CHAPTER|глава (книги)
CHAPTERS|Главы
CHAR|Случайная работа
CHARACTER|характер
CHARACTERISTIC|особенность
CHARGE|плата, стоимость, взимать плату
CHARGES|издержки, расходы (от charge)
CHARITY|милосердие
CHARLES|Чарльз
CHARLEY|Чарли
CHARLOTTE|Шарлотта
CHARM|очарование
CHARMING|очаровательный, прелестный
CHARMS|Обаяния
CHASE|охотиться, преследовать, погоня, охота
CHASING|уклоняющийся (от chase)
CHAT|беседа, болтовня (не blab)
CHATTER|болтать, болтовня
CHATTERBOX|болтунья
CHAUFFEUR|шофер
CHEAP|дешевый
CHEAPLY|дешево, легко
CHEAT|обманывать, надувать, обманщик, плут c-
CHECK|проверять, регистрировать
CHECKING|Проверка
CHEEK|щека
CHEEKY|развязный
CHEER|настроение
CHEERFUL|жизнерадостный, веселый с-
CHEERFULLY|бодро 
CHEERS|да здравствует (приветственное восклицание)
CHEESE|сыр
CHEMICAL|химический
CHEMIST|химик, аптекарь
CHEMISTRY|химия
CHEQUE|банковский чек
CHERISH|лелеять
CHERRIES|вишни (от cherry)
CHERRY|вишня
CHESS|шахматы
CHEST|грудь
CHESTNUT|каштан
CHEVY|охота, погоня, гнаться (не chase)
CHEW|жевать
CHICKEN|цыпленок, кура
CHIEF|шеф, начальник
CHIEFLY|главным образом
CHILD|ребенок
CHILDHOOD|детство
CHILDISH|детский, ребяческий
CHILDREN|дети
CHILL|холод, простуда
CHILLY|холодный, сухой, чопорный
CHIMNEY|труба c-
CHIN|подбородок
CHINA|фарфор
CHIP|обломок, осколок
CHISEL|резец, ваять, высекать
CHIVALROUS|рыцарский
CHOCOLATE|шоколад
CHOICE|выбор (c-, не choose)
CHOKED|Забитый
CHOOSE|выбирать c-
CHORUS|хор
CHOSE|выбирал, выбрал (от choose)
CHOSEN|выбранный (от choose)
CHRIS|Крис
CHRISTIAN|христианский, христианин
CHRISTMAS|Рождество
CHRONICLE|летопись, хроника, отмечать
CHUCKLED|Хихикал
CHURCH|церковь
CHURCHILL|Черчилл
CHURCHYARD|кладбище
CIGAR|сигара
CIGARETTE|сигарета
CIGARETTES|сигареты (от cigarette)
CINEMA|кино
CIRCLE|амфитеатр, круг
CIRCUIT|кругооборот, окружность
CIRCULAR|круглый, реклама
CIRCULATE|повторяться, передаваться
CIRCULATION|кровообращение, тираж
CIRCUMFERENCE|окружность
CIRCUMSTANCE|обстоятельство, условие
CIRCUMSTANCES|обстоятельства, условия
CIRCUMSTANTIAL|обстоятельный, случайный
CIRCUS|цирк, арена
CITIZEN|гражданин
CITIZENS|Граждане
CITY|город
CIVIL|гражданский (-l)
CIVILIZATION|цивилизация
CLAIM|требовать
CLAIMED|Требуемый
CLAIMS|Требования
CLAMOUR|шум, крики
CLAMP|складывать, скреплять (не brace)
CLANK|бряцать, хлопать в ладоши
CLAP|хлопать, аплодировать; удар, хлопок -p
CLASH|столкновение, конфликт
CLASP|прижимать (к груди), обнимать, сжимать (в руке)
CLASPED|Сжатый (не от слов squeeze, tight)
CLASS|класс (не grade)
CLASSES|занятия, уроки
CLASSIC|классический
CLASSROOM|класс
